SSBSECT_SUBJ_CODE,SSBSECT_CRSE_NUMB,SSBSECT_TERM_CODE,SSBSECT_CRN,SSRATTR_TERM_CODE,SSRATTR_CRN,SSRATTR_ATTR_CODE,SSRATTR_ACTIVITY_DATE
AHI,206,202110,10061,202110,10061,A7,2020/01/30
AHI,206,202110,10061,202110,10061,MOIB,2020/03/30
AHI,206,202110,10061,202110,10061,MOIE,2020/01/30
AHI,206,202110,10061,202110,10061,RMOT,2020/10/29
AHI,206,202110,10061,202110,10061,W,2020/01/30
AHI,225,202110,10065,202110,10065,MOIE,2020/06/09
AHI,225,202110,10065,202110,10065,W,2020/06/09
AHI,227,202110,10651,202110,10651,RMOT,2020/10/29
AHI,227,202110,10651,202110,10651,W,2020/10/28
AHI,232,202110,10652,202110,10652,A7,2020/10/28
AHI,232,202110,10652,202110,10652,MOIE,2020/10/28
AHI,232,202110,10652,202110,10652,RMOT,2020/10/29
AHI,232,202110,10652,202110,10652,W,2020/10/28
AHI,283,202110,10068,202110,10068,MOIB,2020/01/30
AHI,283,202110,10068,202110,10068,RMOT,2020/10/29
AHI,404,202110,10577,202110,10577,MOIB,2020/03/30
AHI,404,202110,10577,202110,10577,MOIE,2020/03/30
AHI,413,202110,10070,202110,10070,ADVS,2020/01/30
AHI,413,202110,10070,202110,10070,MOIB,2020/11/04
AHI,413,202110,10070,202110,10070,MOIE,2020/11/04
AHI,413,202110,10070,202110,10070,RMOT,2020/10/29
AHI,413,202110,10070,202110,10070,W,2020/01/30
AHI,496,202110,10071,202110,10071,RMOT,2020/10/29
AHI,496,202110,10071,202110,10071,W,2020/01/30
AMS,102,202110,10619,202110,10619,A7,2020/10/28
AMS,102,202110,10619,202110,10619,MOIE,2020/10/28
AMS,102,202110,10619,202110,10619,W,2020/10/28
AMS,209,202110,10660,202110,10660,A4,2020/10/30
AMS,209,202110,10660,202110,10660,MOIB,2020/10/30
AMS,209,202110,10660,202110,10660,RMOT,2020/11/08
AMS,209,202110,10660,202110,10660,W,2020/10/30
AMS,215,202110,10622,202110,10622,MOD1,2020/11/06
AMS,215,202110,10622,202110,10622,MOIB,2020/10/28
AMS,215,202110,10622,202110,10622,MOIE,2020/10/28
AMS,215,202110,10622,202110,10622,SDP,2020/11/05
AMS,215,202110,10622,202110,10622,W,2020/10/28
AMS,232,202110,10589,202110,10589,MOIE,2020/04/02
AMS,232,202110,10589,202110,10589,RMOT,2020/11/08
AMS,232,202110,10589,202110,10589,SDP,2020/04/02
AMS,253,202110,10113,202110,10113,A4,2020/02/07
AMS,253,202110,10113,202110,10113,MOIB,2020/02/07
AMS,253,202110,10113,202110,10113,MOIE,2020/02/07
AMS,253,202110,10113,202110,10113,RMOT,2020/11/08
AMS,253,202110,10113,202110,10113,W,2020/02/07
AMS,257,202110,10631,202110,10631,MOIE,2020/10/28
AMS,267,202110,10847,202110,10847,MOD2,2020/11/06
AMS,267,202110,10847,202110,10847,MOIE,2020/11/05
AMS,267,202110,10847,202110,10847,W,2020/11/05
AMS,276,202110,10601,202110,10601,CC,2020/06/12
AMS,276,202110,10601,202110,10601,MOIE,2020/06/12
AMS,276,202110,10601,202110,10601,W,2020/06/12
AMS,354,202110,10854,202110,10854,MOD2,2020/11/06
AMS,354,202110,10854,202110,10854,MOIE,2020/11/06
AMS,354,202110,10854,202110,10854,W,2020/11/06
AMS,367,202110,10857,202110,10857,MOIE,2020/11/06
AMS,367,202110,10857,202110,10857,W,2020/11/06
AMS,379,202110,10585,202110,10585,MOIB,2020/03/27
AMS,379,202110,10585,202110,10585,MOIE,2020/03/27
AMS,379,202110,10585,202110,10585,RMOT,2020/11/08
AMS,379,202110,10585,202110,10585,W,2020/03/27
AMS,423,202110,10093,202110,10093,MOIE,2020/02/04
AMS,423,202110,10093,202110,10093,W,2020/02/04
AMS,428,202110,10095,202110,10095,A7,2020/02/04
AMS,428,202110,10095,202110,10095,MOIE,2020/02/04
AMS,428,202110,10095,202110,10095,RMOT,2020/11/08
AMS,428,202110,10095,202110,10095,W,2020/02/04
AMS,435,202110,10851,202110,10851,MOIE,2020/11/05
AMS,435,202110,10851,202110,10851,W,2020/11/05
AMS,465,202110,10098,202110,10098,ADVS,2020/02/04
AMS,465,202110,10098,202110,10098,MOIB,2020/02/04
AMS,465,202110,10098,202110,10098,MOIE,2020/02/04
AMS,465,202110,10098,202110,10098,W,2020/02/04
ANT,103,202110,10520,202110,10520,A3,2020/03/05
ANT,103,202110,10520,202110,10520,MOIE,2020/03/05
ANT,103,202110,10520,202110,10520,RMOT,2020/11/08
ANT,103,202110,10787,202110,10787,A3,2020/11/03
ANT,103,202110,10787,202110,10787,MOIE,2020/11/03
ANT,114,202110,10258,202110,10258,A3,2020/02/17
ANT,114,202110,10258,202110,10258,CC,2020/02/17
ANT,114,202110,10258,202110,10258,MOIE,2020/02/17
ANT,114,202110,10258,202110,10258,RMOT,2020/11/02
ANT,114,202110,10260,202110,10260,A3,2020/02/17
ANT,114,202110,10260,202110,10260,CC,2020/02/17
ANT,114,202110,10260,202110,10260,MOIE,2020/02/17
ANT,114,202110,10260,202110,10260,RMOT,2020/11/02
ANT,114,202110,10668,202110,10668,A3,2020/10/30
ANT,114,202110,10668,202110,10668,CC,2020/10/30
ANT,114,202110,10668,202110,10668,MOIE,2020/10/30
ANT,114,202110,10668,202110,10668,RMOT,2020/11/02
ANT,114,202110,10668,202110,10668,SDP,2020/10/30
ANT,117,202110,10304,202110,10304,A3,2020/02/18
ANT,117,202110,10304,202110,10304,CC,2020/02/18
ANT,117,202110,10304,202110,10304,MOIE,2020/02/18
ANT,117,202110,10304,202110,10304,RMOT,2020/11/08
ANT,166,202110,10369,202110,10369,A5,2020/02/24
ANT,166,202110,10369,202110,10369,MOIA,2020/02/24
ANT,166,202110,10369,202110,10369,RMOT,2020/11/02
ANT,166,202110,10680,202110,10680,A5,2020/11/02
ANT,166,202110,10680,202110,10680,MOIA,2020/11/02
ANT,166,202110,10680,202110,10680,SDP,2020/11/02
ANT,206,202110,10062,202110,10062,A7,2020/01/30
ANT,206,202110,10062,202110,10062,MOIB,2020/03/30
ANT,206,202110,10062,202110,10062,MOIE,2020/01/30
ANT,206,202110,10062,202110,10062,RMOT,2020/11/08
ANT,206,202110,10062,202110,10062,W,2020/01/30
ANT,207,202110,10602,202110,10602,RMOT,2020/11/08
ANT,220,202110,10262,202110,10262,MOIE,2020/02/17
ANT,226,202110,10811,202110,10811,MOIB,2020/11/04
ANT,226,202110,10812,202110,10812,MOIB,2020/11/04
ANT,234,202110,10311,202110,10311,A3,2020/02/18
ANT,234,202110,10311,202110,10311,MOIB,2020/02/18
ANT,234,202110,10311,202110,10311,MOIE,2020/02/18
ANT,234,202110,10311,202110,10311,RMOT,2020/11/02
ANT,234,202110,10311,202110,10311,W,2020/02/18
ANT,256,202110,10508,202110,10508,A3,2020/03/04
ANT,256,202110,10508,202110,10508,MOIE,2020/03/04
ANT,256,202110,10508,202110,10508,RMOT,2020/11/02
ANT,256,202110,10508,202110,10508,SDP,2020/11/05
ANT,256,202110,10508,202110,10508,W,2020/03/04
ANT,260,202110,10510,202110,10510,MOIE,2020/06/09
ANT,316,202110,10117,202110,10117,MOIB,2020/02/07
ANT,316,202110,10117,202110,10117,MOIE,2020/02/07
ANT,316,202110,10117,202110,10117,RMOT,2020/11/02
ANT,316,202110,10117,202110,10117,SDP,2020/03/30
ANT,319,202110,10274,202110,10274,RMOT,2020/11/02
ANT,319,202110,10274,202110,10274,SDP,2020/11/05
ANT,319,202110,10274,202110,10274,W,2020/11/05
ANT,320,202110,10275,202110,10275,MOIE,2020/02/17
ANT,353,202110,10277,202110,10277,MOIE,2020/02/17
ANT,393,202110,10278,202110,10278,MOIB,2020/06/19
ANT,393,202110,10278,202110,10278,MOIE,2020/06/19
ANT,393,202110,10278,202110,10278,RMOT,2020/11/02
ARA,102,202110,10039,202110,10039,AARA,2020/01/17
ARA,102,202110,10039,202110,10039,EARA,2020/01/17
ARA,102,202110,10039,202110,10039,WLC,2020/01/17
ARA,202,202110,10040,202110,10040,AARA,2020/01/17
ARA,202,202110,10040,202110,10040,INFL,2020/01/17
ARA,202,202110,10040,202110,10040,WLC,2020/01/17
ARA,230,202110,10479,202110,10479,A4,2020/03/02
ARA,230,202110,10479,202110,10479,AARA,2020/03/02
ARA,230,202110,10479,202110,10479,MOIB,2020/03/02
ARC,103,202110,10056,202110,10056,A7,2020/01/30
ARC,103,202110,10056,202110,10056,CC,2020/01/30
