Dept,#,Sec,Term Part,CRN,TITLE,Approval Required,Cross Listed,Max Enroll,Actual Enroll,Faculty,Credits,Days1,Time1,Loc1,Days2,Time2,Loc2,Days3,Time3,Loc3,Notes
ANT,166,1,1,10369,AFRO-CARIBBEAN DANCE I,,Y,15,0,Rosemarie Roberts,4,M R,1015-1130,CRO MYERS,,-,,,-,,.
ANT,166,2,1,10680,AFRO-CARIBBEAN DANCE I,,Y,15,0,Rosemarie Roberts,4,M R,1200-1315,CRO MYERS,,-,,,-,,.
ANT,206,1,1,10062,INTRODUCTION TO AFRICAN ART,,Y,35,0,Christopher Steiner,4,T F,1530-1645,,,-,,,-,,.
ANT,207,1,1,10602,SEM: INDIG USE TROP RAINFOREST,,Y,12,0,Manuel Lizarralde,4,R,1346-1645,REMOTE,,-,,,-,,.
ANT,226,1,1,10811,LANGUAGE IN CULTURE,,Y,28,0,Petko Ivanov,4,T F,1530-1645,,,-,,,-,,.
ANT,234,1,1,10311,S AMER CULTURES & ENVIRONMENT,,Y,24,0,Manuel Lizarralde,4,M R,1715-1830,REMOTE,,-,,,-,,.
ANT,256,1,1,10508,“MIGRATION CRISIS” IN EUROPE,,Y,28,0,Catherine Benoit,4,M R,0830-0945,REMOTE,,-,,,-,,.
ANT,316,1,1,10117,SEX AND POWER IN JAPAN,,Y,28,0,Ayako Takamori,4,T F,1345-1500,REMOTE,,-,,,-,,.
ANT,319,1,1,10274,MEDICAL ANTHROPOLOGY,,,28,0,Catherine Benoit,4,M R,1345-1500,REMOTE,,-,,,-,,.
ANT,393,1,1,10278,DISCARD(-ERS)(-ING)(-ABLES),,Y,18,0,Anthony Graesch,4,T F,1530-1645,REMOTE,,-,,,-,,.
ARA,102,1,1,10039,ELEMENTARY ARABIC,,,18,0,Waed Athamneh,5,M,1200-1500,,,-,,,-,,.
ARA,202,1,1,10040,INTERMEDIATE ARABIC,,,18,0,Waed Athamneh,4,T F,1345-1500,,,-,,,-,,.
ARA,230,1,1,10479,INTRO TO ARABIC LIT (IN ENG),,,28,0,Waed Athamneh,4,T F,1015-1130,,,-,,,-,,.
ARC,205,1,3,10649,JAPANESE ART & ARCHITECTURE,,Y,20,0,Di Luo,4,MT RF,1345-1500,,,-,,,-,,.
ARC,342,1,1,10072,"ARCH DESIGN,II:SELECTED TOPICS",,Y,12,0,Bill Pollack,4,M,1900-2200,REMOTE,,-,,,-,,.
ART,101,1,1,10240,CONCEPTS IN TWO DIMENSIONS,,,18,0,Timothy McDowell,4,M R,1015-1130,REMOTE,,-,,,-,,.
ART,103,1,1,10241,DESIGN: VISUAL LANGUAGE,,,16,0,Andrea Wollensak,4,T F,1015-1130,REMOTE,,-,,,-,,.
ART,104,1,1,10242,CC:TIME-BASED DIGITAL ART,,Y,16,0,Nadav Assor,4,M,1530-1830,,W,1530-1645,,,-,,.
ART,106,1,1,10244,CC: THE MAKING MAKER,,,14,0,Greg Bailey,4,W,1015-1130,,S,1200-1315,,,-,,.
ART,200B,1,1,10700,DIGITAL PHOTOGRAPHY,,,16,0,Amanda Wallace,4,M R,1015-1315,REMOTE,,-,,,-,,.
ART,204,1,1,10246,PRINT WKSHP: RELIEF PROCESS,,,12,0,Timothy McDowell,4,M R,1200-1315,REMOTE,,-,,,-,,.
ART,206,1,1,10816,3-D FUND: REDUCTV/CONSTRUCTV,,,16,0,Pamela Marks,4,T F,1200-1315,CUM 310,,-,,,-,,.
ART,207,1,1,10248,DESIGN: TYPE AND IMAGE,,,16,0,Andrea Wollensak,4,M R,0830-0945,REMOTE,,-,,,-,,.
ART,209,1,1,10249,DESIGNING VISUAL INFORMATION,,Y,16,0,Andrea Wollensak,4,M R,1530-1645,REMOTE,,-,,,-,,.
ART,210,1,1,10250,CC: DECODING COLOR,,,16,0,Pamela Marks,4,T F,0830-0945,REMOTE,,-,,,-,,.
ART,214,1,1,10252,VIDEO INSTALLATION,,Y,12,0,. To Be Assigned,4,W,0830-0945,REMOTE,W,1015-1130,REMOTE,,-,,.
ART,215,1,1,10254,3D:SCAN/MODEL/ANIMATE/PRINT,,Y,8,0,Nadav Assor,4,T F,1015-1315,,,-,,,-,,.
ART,217,1,1,10256,CERAMIC SCULPT:VESSEL CONSTRUC,,,8,0,Denise Pelletier,4,T F,1200-1500,,,-,,,-,,.
ART,222D,1,1,10763,SPEC TOPICS:CLAY IN ARCHICTRE,,,10,0,Denise Pelletier,4,T R,1715-2015,,,-,,,-,,.
ART,251,1,1,10817,POLITICS OF PAINTING PEOPLE,,,12,0,Chris Barnard,4,T,1530-1645,,F,1530-1830,,,-,,.
ART,300,1,1,10762,ADVANCED PHOTOGRAPHY,,,10,0,Amanda Wallace,4,M R,1345-1500,REMOTE,,-,,,-,,.
ART,335F,1,1,10261,INDIV STUDIO INSTRUCTION I,Y,,5,0,Timothy McDowell,4,,-,,,-,,,-,,.
ART,342,1,1,10073,"ARCH DESIGN,II:SELECTED TOPICS",,Y,12,0,Bill Pollack,4,M,1900-2200,REMOTE,,-,,,-,,.
ART,450A,1,1,10263,SENIOR STUDIO,,,18,0,Nadav Assor,4,,-,,,-,,,-,,.
ART,450B,1,1,10265,SENIOR STUDIO,,,18,0,Greg Bailey,4,,-,,,-,,,-,,.
ART,450C,1,1,10266,SENIOR STUDIO,,,18,0,Chris Barnard,4,,-,,,-,,,-,,.
ART,450D,1,1,10267,SENIOR STUDIO,,,18,0,Pamela Marks,4,,-,,,-,,,-,,.
ART,450E,1,1,10268,SENIOR STUDIO,,,18,0,Timothy McDowell,4,,-,,,-,,,-,,.
ART,450F,1,1,10269,SENIOR STUDIO,,,18,0,Denise Pelletier,4,,-,,,-,,,-,,.
ART,450G,1,1,10270,SENIOR STUDIO,,,18,0,Andrea Wollensak,4,,-,,,-,,,-,,.
AHI,101,1,1,10054,"SURVEY OF THE HIST OF ART, I",,,38,0,Joseph Alchermes,4,T F,1015-1130,REMOTE,,-,,,-,,.
AHI,104,1,2,10642,INTRODUCTION TO ASIAN ART,,Y,24,0,Di Luo,4,MT RF,1200-1315,,,-,,,-,,.
